,mount_point,b_id,start_time,end_time,dur,size,count,ts,te
160,/proc,395712,48536933,48544631,391,34176,48,48.536933,48.544631
161,/proc,400154,44506141,44603076,22616,1185328,776,44.506141,44.603076
162,/proc,402903,48536921,48544646,384,34176,48,48.536921,48.544646
163,/proc,404119,48536930,48544639,433,34176,48,48.53693,48.544639
164,/proc,404867,1963356,2004380,6403,394536,32,1.963356,2.00438
165,/proc,405357,7031743,7034023,424,19829,64,7.031743,7.034023
166,/proc,406490,48536922,48544628,373,34176,48,48.536922,48.544628
167,/proc,414535,37851381,37967711,57392,2407366,896,37.851381,37.967711
168,/proc,415251,7058315,7060929,424,19844,64,7.058315,7.060929
169,/proc,416172,47883603,47984128,179,11392,16,47.883603,47.984128
170,/proc,418076,44572146,44679666,22754,1185328,776,44.572146,44.679666
171,/proc,418658,47897459,47965364,176,11392,16,47.897459,47.965364
172,/proc,418838,7028167,7030730,425,20095,64,7.028167,7.03073
173,/proc,420816,47883566,47962426,180,11392,16,47.883566,47.962426
174,/proc,422252,47883615,47965438,175,11400,16,47.883615,47.965438
175,/proc,422450,47883662,47970553,175,11392,16,47.883662,47.970553
176,/proc,425929,47883627,47998996,178,11392,16,47.883627,47.998996
177,/proc,426642,47883589,47970629,179,11400,16,47.883589,47.970629
178,/proc,427426,47893686,48000676,180,11392,16,47.893686,48.000676
179,/proc,437628,6028472,6098017,45,32,16,6.028472,6.098017
180,/proc,439598,5965254,6057192,46,32,16,5.965254,6.057192
181,/sys,9327,49513970,49530496,3043,3432,416,49.51397,49.530496
182,/sys,23718,5964817,6097076,350,928,88,5.964817,6.097076
183,/sys,23825,6264100,6459910,21295,7688,712,6.2641,6.45991
184,/sys,39642,37969257,37969303,8,10,4,37.969257,37.969303
185,/sys,42530,44128970,44634304,1014628,403280,8432,44.12897,44.634304
186,/sys,58887,44195330,44676542,1078540,403280,8432,44.19533,44.676542
187,/sys,63772,44281066,44767204,1043910,403280,8432,44.281066,44.767204
188,/sys,76623,6291123,6471982,21447,7688,712,6.291123,6.471982
189,/sys,79323,6378322,6477574,19002,2304,136,6.378322,6.477574
190,/sys,81654,6718452,6759417,3391,5384,576,6.718452,6.759417
191,/sys,95059,49513183,49529582,2950,3432,416,49.513183,49.529582
192,/sys,97770,49513871,49529776,3000,3432,416,49.513871,49.529776
193,/sys,103050,6065281,6133181,354,928,88,6.065281,6.133181
194,/sys,109696,6604620,6645439,3361,5384,576,6.60462,6.645439
195,/sys,110155,5937089,6068858,480,928,88,5.937089,6.068858
196,/sys,110262,6232234,6451022,21626,7688,712,6.232234,6.451022
197,/sys,120890,44201018,44695500,1081994,403280,8432,44.201018,44.6955
198,/sys,128563,5913461,6044627,354,928,88,5.913461,6.044627
199,/sys,128670,6210494,6405702,21493,7688,712,6.210494,6.405702
200,/sys,132243,5873886,5970233,396,928,88,5.873886,5.970233
201,/sys,132350,6167277,6293378,18014,2304,136,6.167277,6.293378
