,Node,InDegree,OutDegree,BetweennessCentrality,DegreeCentrality,Type
40330,p_2674834,4,2,110733.6706613462,0.00014623089858887184,process
40331,p_1409341,1,0,0.0,2.4371816431478637e-05,process
40332,p_1780244,191,0,0.0,0.0046550169384124195,process
40333,p_1782034,7,2,177605.09446475873,0.00021934634788330773,process
40334,p_2977522,7,2,39584.76024561114,0.00021934634788330773,process
40335,p_1785189,173,0,0.0,0.004216324242645804,process
40336,p_1407049,120,0,0.0,0.0029246179717774363,process
40337,p_2979706,5,2,98153.5041054853,0.00017060271502035047,process
40338,p_1785034,150,0,0.0,0.0036557724647217956,process
40339,p_2975861,153,0,0.0,0.0037288879140162314,process
40340,p_1408378,1,0,0.0,2.4371816431478637e-05,process
40341,p_1411393,1,0,0.0,2.4371816431478637e-05,process
40342,p_1782189,7,2,47993.89063123365,0.00021934634788330773,process
40343,p_1410885,149,0,0.0,0.003631400648290317,process
40344,p_1414442,133,0,0.0,0.0032414515853866586,process
40345,p_2680717,1,0,0.0,2.4371816431478637e-05,process
40346,p_2679808,124,0,0.0,0.003022105237503351,process
40347,p_1410938,140,0,0.0,0.003412054300407009,process
40348,p_1408857,128,0,0.0,0.0031195925032292656,process
40349,p_2679686,138,0,0.0,0.003363310667544052,process
40350,p_2680999,1,0,0.0,2.4371816431478637e-05,process
40351,p_2977831,136,0,0.0,0.003314567034681095,process
40352,p_2678733,1,0,0.0,2.4371816431478637e-05,process
40353,p_2681112,7,2,106055.95595289071,0.00021934634788330773,process
40354,p_1410787,1,0,0.0,2.4371816431478637e-05,process
40355,p_2978433,1,0,0.0,2.4371816431478637e-05,process
40356,p_2977702,140,0,0.0,0.003412054300407009,process
40357,p_2675463,1,0,0.0,2.4371816431478637e-05,process
40358,p_1413951,131,0,0.0,0.0031927079525237013,process
40359,p_2681422,5,2,26282.983878079514,0.00017060271502035047,process
40360,p_1779454,7,2,38558.35293512632,0.00021934634788330773,process
40361,p_1783631,1,0,0.0,2.4371816431478637e-05,process
40362,p_2675061,138,0,0.0,0.003363310667544052,process
40363,p_2973555,142,0,0.0,0.0034607979332699663,process
40364,p_2676395,7,2,205222.08419521418,0.00021934634788330773,process
40365,p_2977992,161,0,0.0,0.00392386244546806,process
40366,p_2677211,7,2,26762.59467464744,0.00021934634788330773,process
40367,p_2974555,7,2,279750.0424712531,0.00021934634788330773,process
40368,p_2680088,7,2,42079.01911949377,0.00021934634788330773,process
40369,p_2979414,1,0,0.0,2.4371816431478637e-05,process
40370,p_2676228,7,2,56013.637303344825,0.00021934634788330773,process
40371,p_1781043,7,2,15131.069371061145,0.00021934634788330773,process
40372,p_1407277,7,2,46633.9717728889,0.00021934634788330773,process
40373,p_1783233,205,0,0.0,0.00499622236845312,process
40374,p_2972351,172,4,264541.18042704,0.00428943969194024,process
40375,p_1412976,134,0,0.0,0.0032658234018181375,process
40376,p_1410588,7,2,151530.594300854,0.00021934634788330773,process
40377,p_1784703,5,2,672898.3718943177,0.00017060271502035047,process
40378,p_2973149,1,0,0.0,2.4371816431478637e-05,process
40379,p_1778739,6,1,28524.084871085255,0.00017060271502035047,process
40380,p_1409629,7,2,26164.378606398877,0.00021934634788330773,process
40381,p_1778258,3,2,26113.13863606806,0.00012185908215739318,process
